snapped_at,price,market_cap,total_volume
2021-05-21 00:00:00 UTC,1871.16091503901,159412651.68386564,1071867.9201938908
2021-05-22 00:00:00 UTC,1870.3551063448208,160603402.97013077,1278370.6693261375
2021-05-23 00:00:00 UTC,1870.235590061372,159750532.44425252,994745.5729091957
2021-05-24 00:00:00 UTC,1876.38873982361,160276118.07418618,338247.71639506106
2021-05-25 00:00:00 UTC,1879.9792999809868,160630659.0544798,260355.2777548397
2021-05-26 00:00:00 UTC,1894.573676849924,161569155.36810878,363829.0724978364
2021-05-27 00:00:00 UTC,1900.9564890665404,161972810.99682075,201779.89330210694
2021-05-28 00:00:00 UTC,1899.6974939005315,161508292.28224176,96254.05413453316
2021-05-29 00:00:00 UTC,1903.7840289820513,162113948.7541121,321771.4926189045
2021-05-30 00:00:00 UTC,1905.5835396294117,162971789.4723792,116812.14777857093
2021-05-31 00:00:00 UTC,1901.3699039558703,162592707.06922364,37693.14338801974
2021-06-01 00:00:00 UTC,1906.7748525931013,162808616.31682962,207665.067202487
2021-06-02 00:00:00 UTC,1898.5484797564832,162707902.85682926,166931.2771539279
2021-06-03 00:00:00 UTC,1909.129368926063,163213719.6214726,43299.764069667086
2021-06-04 00:00:00 UTC,1874.8728144845325,159891940.65063724,84625.910623518
2021-06-05 00:00:00 UTC,1884.291010571479,161302151.97453555,186536.59124859725
2021-06-06 00:00:00 UTC,1889.9380656766596,161568990.48544616,69252.89523445907
2021-06-07 00:00:00 UTC,1896.062740204753,161350235.68440074,15080.6402001867
2021-06-08 00:00:00 UTC,1890.4277418267766,161883367.4229402,223081.9852232188
2021-06-09 00:00:00 UTC,1894.6788398648778,161880344.20473683,590132.7069785311
2021-06-10 00:00:00 UTC,1893.326888870586,161722929.55785906,512631.34802537813
2021-06-11 00:00:00 UTC,1891.299126679246,161437348.22877535,3010799.22154031
2021-06-12 00:00:00 UTC,1882.3128840092834,160782142.65898553,392425.95157656434
2021-06-13 00:00:00 UTC,1866.4056890047557,159673660.38414848,101245.97191847581
2021-06-14 00:00:00 UTC,1869.9953064727774,159860480.16806322,135860.65715149342
2021-06-15 00:00:00 UTC,1871.1264668048786,159442835.12692246,3402571.2106788005
2021-06-16 00:00:00 UTC,1854.8758539595615,158521228.76240367,1041752.8517317038
2021-06-17 00:00:00 UTC,1810.078787587609,154410499.2897303,961995.898959727
2021-06-18 00:00:00 UTC,1777.3520300084438,151299006.85498694,1119792.9743864925
2021-06-19 00:00:00 UTC,1755.586140428056,150979363.32984155,1104921.508683018
2021-06-20 00:00:00 UTC,1762.01422401804,150329949.21885478,1072112.0410107998
2021-06-21 00:00:00 UTC,1771.5914092696307,151390613.0816749,365085.8329553745
2021-06-22 00:00:00 UTC,1785.1916350753572,153173502.30758992,515905.4565903481
2021-06-23 00:00:00 UTC,1769.939488856711,151364912.17115837,1451086.7262597885
2021-06-24 00:00:00 UTC,1778.097350098268,151793508.12793905,324054.4129614316
2021-06-25 00:00:00 UTC,1773.1416596182257,151706131.25648484,460931.04695887386
2021-06-26 00:00:00 UTC,1788.461779435428,152546417.94130966,481959.2523779806
2021-06-27 00:00:00 UTC,1781.6384791292144,152644940.20837456,798725.4517182105
2021-06-28 00:00:00 UTC,1784.4929023003626,152365499.02456558,158578.31244729098
2021-06-29 00:00:00 UTC,1780.3497375068332,151979182.3057186,839531.2020289635
2021-06-30 00:00:00 UTC,1762.2140759324586,150495644.20480508,998303.1985668931
2021-07-01 00:00:00 UTC,1767.9535802114112,150914132.62243602,543179.2136342224
2021-07-02 00:00:00 UTC,1774.3773566739299,151927664.03649306,1235566.5652030017
2021-07-03 00:00:00 UTC,1787.3602917434084,152323064.03962696,483889.9214795212
2021-07-04 00:00:00 UTC,1794.4246364383482,153180070.25198355,97798.79147376378
2021-07-05 00:00:00 UTC,1783.9401363714012,152308863.61971477,372588.9494593194
2021-07-06 00:00:00 UTC,1781.1090674951463,152278414.22613397,449044.16541600064
2021-07-07 00:00:00 UTC,1799.4535040611931,153708498.6965661,912375.6422110404
2021-07-08 00:00:00 UTC,1799.3393870059601,153757182.48009452,119139.8001112876
2021-07-09 00:00:00 UTC,1801.0637378413837,153856883.85070273,102124.60973313793
2021-07-10 00:00:00 UTC,1814.443922308024,155033403.71436378,51954.49722909041
2021-07-11 00:00:00 UTC,1809.9540285488617,154653838.59549302,32456.500853974536
2021-07-12 00:00:00 UTC,1804.8506666097085,154200576.65623802,67893.05275370508
2021-07-13 00:00:00 UTC,1807.8175211350692,154083800.81136683,95051.66393750941
2021-07-14 00:00:00 UTC,1802.8680993142834,154243867.8535292,209966.82138280396
2021-07-15 00:00:00 UTC,1823.3820305049087,155761133.76748154,158784.24885705154
2021-07-16 00:00:00 UTC,1830.5434041549686,156039592.52183422,127299.4177624002
2021-07-17 00:00:00 UTC,1810.7560705634626,154690890.26948124,244486.55871826762
2021-07-18 00:00:00 UTC,1813.0753919918332,154884516.22398302,55735.437522405366
2021-07-19 00:00:00 UTC,1818.653390228583,155168398.1597424,107525.99213661377
2021-07-20 00:00:00 UTC,1811.857182771038,155058980.89521432,117478.26244510472
2021-07-21 00:00:00 UTC,1811.8816453059758,154777675.18845537,91420.10209807717
2021-07-22 00:00:00 UTC,1809.1749607872982,154209038.04349706,77105.17202898105
2021-07-23 00:00:00 UTC,1807.4700448956016,154221291.65071008,70556.08497348952
2021-07-24 00:00:00 UTC,1809.7390452723484,154641603.40885365,78303.2673654247
2021-07-25 00:00:00 UTC,1802.6236935263598,154048209.09376764,99000.28712953755
2021-07-26 00:00:00 UTC,1819.530226547782,154677399.86780488,52034.84304320739
2021-07-27 00:00:00 UTC,1798.0545760144091,153939963.298983,229502.63034570465
2021-07-28 00:00:00 UTC,1803.9768620239279,153908231.45098093,68563.20265312343
2021-07-29 00:00:00 UTC,1801.60332216349,153940412.52595618,129147.78150702722
2021-07-30 00:00:00 UTC,1838.8337077935373,156891701.97088152,146318.23216113896
2021-07-31 00:00:00 UTC,1820.3283329342835,155083594.5718308,157202.64644264398
2021-08-01 00:00:00 UTC,1809.8766238842734,154730871.19416818,82042.35898797758
2021-08-02 00:00:00 UTC,1814.4259638379656,154618548.68922457,34034.995138008264
2021-08-03 00:00:00 UTC,1808.4726228753134,154552914.2662184,91801.57346241552
2021-08-04 00:00:00 UTC,1806.6047939843775,154553592.73503807,79883.28847867301
2021-08-05 00:00:00 UTC,1812.3759262807034,154770132.5499201,41128.85185613818
2021-08-06 00:00:00 UTC,1802.834431492921,154063644.1745727,112056.25085398494
2021-08-07 00:00:00 UTC,1765.2104794660258,150693708.92778483,155311.49550780418
2021-08-08 00:00:00 UTC,1774.1868061753985,151546301.6789168,101696.2942535326
2021-08-09 00:00:00 UTC,1719.9538282447982,146020070.9478763,1092102.691748034
2021-08-10 00:00:00 UTC,1731.300489805071,147762727.14327577,504658.03882537765
2021-08-11 00:00:00 UTC,1735.711302816399,148253750.47298265,2207816.4287177604
2021-08-12 00:00:00 UTC,1751.0599347487473,149519307.61515042,426755.6571742347
2021-08-13 00:00:00 UTC,1754.8601633746505,149932471.56260216,121793.11961697685
2021-08-14 00:00:00 UTC,1778.1112277993418,151667740.43300325,264481.6925491006
2021-08-15 00:00:00 UTC,1782.5964608807749,152128529.55263078,95117.82778399558
2021-08-16 00:00:00 UTC,1778.2899694963826,151887221.01540685,55384.48561651581
2021-08-17 00:00:00 UTC,1787.2156974388213,152661638.77634943,109997.0335878876
2021-08-18 00:00:00 UTC,1783.7401219339902,152670925.62488383,68086.05285199679
2021-08-19 00:00:00 UTC,1790.036785525354,152900164.61139518,107013.56954901076
2021-08-20 00:00:00 UTC,1779.2183357267165,152183818.29453722,60257.74000077265
2021-08-21 00:00:00 UTC,1781.9214336761154,152141819.27644542,56042.62112230703
2021-08-22 00:00:00 UTC,1778.2472456012028,152037040.76244253,90129.12219574832
2021-08-23 00:00:00 UTC,1776.3550132911723,151867687.35925424,76210.32250736217
2021-08-24 00:00:00 UTC,1803.8687384338555,153983997.8860589,261788.64376022958
2021-08-25 00:00:00 UTC,1800.971419632965,153444456.3531667,115287.6338148417
2021-08-26 00:00:00 UTC,1790.7190412134803,153047991.039905,127407.49246850338
2021-08-27 00:00:00 UTC,1793.085475545234,153178258.19533712,87309.15599657461
2021-08-28 00:00:00 UTC,1817.9800507217415,155266908.54024544,87824.80567062365
